separation_m,force_gradient_mag_N_per_m
1.500e-07,1.150e-03
1.550e-07,1.025e-03
1.600e-07,9.200e-04
1.650e-07,8.250e-04
1.700e-07,7.400e-04
1.750e-07,6.650e-04
1.800e-07,6.000e-04
1.850e-07,5.450e-04
1.900e-07,4.950e-04
1.950e-07,4.500e-04
2.000e-07,4.100e-04
2.100e-07,3.450e-04
2.200e-07,2.900e-04
2.300e-07,2.450e-04
2.400e-07,2.100e-04
2.500e-07,1.800e-04
2.600e-07,1.550e-04
2.700e-07,1.350e-04
2.800e-07,1.180e-04
2.900e-07,1.030e-04
3.000e-07,9.000e-05
3.100e-07,7.900e-05
3.200e-07,7.000e-05
3.300e-07,6.200e-05
3.400e-07,5.500e-05
3.500e-07,4.900e-05
3.600e-07,4.400e-05
3.700e-07,3.950e-05
3.800e-07,3.550e-05
3.900e-07,3.200e-05
4.000e-07,2.900e-05
4.100e-07,2.650e-05
4.200e-07,2.400e-05
4.300e-07,2.200e-05
4.400e-07,2.020e-05
4.500e-07,1.850e-05
4.600e-07,1.700e-05
4.700e-07,1.560e-05
4.800e-07,1.440e-05
4.900e-07,1.330e-05
5.000e-07,1.230e-05
